name,rating,sector,no_of_employees,ownership_status,age_of_company,headquarters_location,salary,available_jobs
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86.0,Mumbai,78000.0,100.0
Vodafone Idea,4.2,Telecom,5k-10k Employees,Public,6.0,Mumbai,56800.0,19.0
BYJU'S,3.1,EdTech,10k-50k Employees,Indian Unicorn,13.0,Bangalore,60300.0,6.0
Kotak Mahindra Bank,3.8,Banking,50k-1 Lakh Employees,Public,21.0,Mumbai,78500.0,9.0
Deloitte,3.9,Management Consulting,1 Lakh+ Employees,,179.0,London,180000.0,441.0
Reliance Industries,4.1,Oil & Gas,1 Lakh+ Employees,Public,47.0,Navi Mumbai,65600.0,36.0
iEnergizer,4.7,BPO,10k-50k Employees,,24.0,Noida,19200.0,94.0
Bharti Airtel,4.1,Telecom,10k-50k Employees,Public,29.0,Gurgaon/Gurugram,44000.0,156.0
Tata Motors,4.2,Automobile,10k-50k Employees,Public,79.0,Pune,39900.0,181.0
WNS,3.5,BPO,10k-50k Employees,,28.0,Mumbai,54700.0,77.0
Flipkart,4.1,Internet,10k-50k Employees,Public,17.0,Bangalore,46300.0,208.0
IndusInd Bank,3.7,Banking,10k-50k Employees,Public,30.0,Gurgaon/Gurugram,46400.0,153.0
Ernst & Young,3.6,Management Consulting,50k-1 Lakh Employees,,22.0,London,130000.0,220.0
AU Small Finance Bank,4.4,Banking,10k-50k Employees,Fortune India 500,28.0,Jaipur,19200.0,56.0
Mahindra & Mahindra,4.2,Automobile,1 Lakh+ Employees,Public,79.0,Mumbai,36600.0,15.0
Infosys BPM,3.8,BPO,10k-50k Employees,,22.0,Bangalore/Bengaluru,60700.0,191.0
DXC Technology,3.8,IT Services & Consulting,10k-50k Employees,Public,7.0,Minato,79700.0,68.0
IDFC FIRST Bank,4.0,Banking,10k-50k Employees,Public,6.0,Mumbai,41300.0,55.0
Conneqt Business Solutions,3.7,BPO,10k-50k Employees,,22.0,Mumbai,26100.0,424.0
LTIMindtree,3.6,IT Services & Consulting,50k-1 Lakh Employees,Public,27.0,Bangalore / Bengaluru,99800.0,332.0
HDFC Life,4.1,Insurance,10k-50k Employees,Public,24.0,Mumbai,29900.0,10.0
Bajaj Finserv,4.1,Financial Services,50k-1 Lakh Employees,Public,17.0,Pithampur,26400.0,1.0
Mphasis,3.5,IT Services & Consulting,10k-50k Employees,Public,26.0,Bangalore / Bengaluru,65700.0,184.0
PwC,3.6,Management Consulting,10k-50k Employees,Conglomerate,144.0,Kolkata,85600.0,1100.0
HSBC Group,4.1,Banking,10k-50k Employees,Forbes Global 2000,159.0,Hyderabad / Secunderabad,59600.0,25.0
Startek,3.3,BPO,10k-50k Employees,Public,7.0,Bangalore / Bengaluru,22600.0,78.0
Hinduja Global Solutions,4.0,IT Services & Consulting,10k-50k Employees,Public,24.0,Bangalore / Bengaluru,24500.0,50.0
Samsung,4.1,Consumer Electronics & Appliances,50k-1 Lakh Employees,Public,55.0,Noida,27500.0,19.0
Ericsson,4.3,Telecom,10k-50k Employees,Forbes Global 2000,148.0,Noida,43600.0,413.0
Maruti Suzuki,4.2,Automobile,10k-50k Employees,Public,43.0,Gurgaon / Gurugram,25600.0,5.0
Shriram Finance,4.1,NBFC,50k-1 Lakh Employees,Public,45.0,Chennai,13700.0,12.0
Asian Paints,4.1,Chemicals,5k-10k Employees,Public,82.0,Mumbai,22000.0,22.0
Yes Bank,3.9,Banking,10k-50k Employees,Public,20.0,Mumbai,40700.0,33.0
Cipla,4.1,Pharma,10k-50k Employees,Public,89.0,Pithampur,23900.0,76.0
Dr. Reddy's,4.2,Pharma,10k-50k Employees,Public,40.0,Hyderabad / Secunderabad,23900.0,101.0
Sutherland Global Services,3.7,IT Services & Consulting,10k-50k Employees,,38.0,Chennai,28000.0,224.0
Paytm,3.4,FinTech,10k-50k Employees,Public,14.0,Noida,32000.0,135.0
Bandhan Bank,3.8,Banking,50k-1 Lakh Employees,Public,23.0,Pithampur,20000.0,24.0
UltraTech Cement,4.2,Building Material,10k-50k Employees,Public,41.0,Mumbai,21300.0,6.0
EXL Service,3.8,Analytics & KPO,10k-50k Employees,,25.0,Noida,38200.0,61.0
NTT DATA,4.0,IT Services & Consulting,10k-50k Employees,,36.0,Bangalore / Bengaluru,51600.0,113.0
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56.0,Mumbai,869999.9999999999,1100.0
Accenture,4.0,IT Services & Consulting,1 Lakh+ Employees,Public,35.0,Dublin,590000.0,43200.0
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30.0,Teaneck. New Jersey.,570000.0,559.0
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,79.0,Bangalore/Bengaluru,430000.0,226.0
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,57.0,Paris,430000.0,568.0
HDFC Bank,4.0,Banking,1 Lakh+ Employees,Public,30.0,Mumbai,130000.0,186.0
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,30.0,Mumbai,140000.0,73.0
Infosys,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,43.0,Bengaluru/Bangalore,459999.99999999994,804.0
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,33.0,Noida,300000.0,146.0
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,38.0,Pune,250000.0,320.0
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,27.0,New York,190000.0,445.0
Axis Bank,3.9,Banking,50k-1 Lakh Employees,Public,31.0,Mumbai,96800.0,188.0
Teleperformance,3.8,BPO,50k-1 Lakh Employees,Forbes Global 2000,46.0,Paris,85900.0,306.0
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,41.0,Fremont,110000.00000000001,74.0
Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6.0,Navi Mumbai,66400.0,156.0
Amazon,4.1,Internet,1 Lakh+ Employees,Public,30.0,Seattle,120000.0,127.0
IBM,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,113.0,Armonk,220000.00000000003,1900.0
Reliance Retail,4.0,Retail,1 Lakh+ Employees,,18.0,Navi Mumbai,61600.0,154.0
HDB Financial Services,4.0,NBFC,1 Lakh+ Employees,,17.0,Ahmedabad,49300.0,137.0
Larsen & Toubro Limited,4.1,Engineering & Construction,10k-50k Employees,Public,86.0,Mumbai,78000.0,100.0
Vodafone Idea,4.2,Telecom,5k-10k Employees,Public,6.0,Mumbai,56800.0,19.0
BYJU'S,3.1,EdTech,10k-50k Employees,Indian Unicorn,13.0,Bangalore,60300.0,6.0
Kotak Mahindra Bank,3.8,Banking,50k-1 Lakh Employees,Public,21.0,Mumbai,78500.0,9.0
Deloitte,3.9,Management Consulting,1 Lakh+ Employees,,179.0,London,180000.0,441.0
Reliance Industries,4.1,Oil & Gas,1 Lakh+ Employees,Public,47.0,Navi Mumbai,65600.0,36.0
iEnergizer,4.7,BPO,10k-50k Employees,,24.0,Noida,19200.0,94.0
Bharti Airtel,4.1,Telecom,10k-50k Employees,Public,29.0,Gurgaon/Gurugram,44000.0,156.0
Tata Motors,4.2,Automobile,10k-50k Employees,Public,79.0,Pune,39900.0,181.0
WNS,3.5,BPO,10k-50k Employees,,28.0,Mumbai,54700.0,77.0
Flipkart,4.1,Internet,10k-50k Employees,Public,17.0,Bangalore,46300.0,208.0
IndusInd Bank,3.7,Banking,10k-50k Employees,Public,30.0,Gurgaon/Gurugram,46400.0,153.0
Ernst & Young,3.6,Management Consulting,50k-1 Lakh Employees,,22.0,London,130000.0,220.0
AU Small Finance Bank,4.4,Banking,10k-50k Employees,Fortune India 500,28.0,Jaipur,19200.0,56.0
Mahindra & Mahindra,4.2,Automobile,1 Lakh+ Employees,Public,79.0,Mumbai,36600.0,15.0
Infosys BPM,3.8,BPO,10k-50k Employees,,22.0,Bangalore/Bengaluru,60700.0,191.0
DXC Technology,3.8,IT Services & Consulting,10k-50k Employees,Public,7.0,Minato,79700.0,68.0
IDFC FIRST Bank,4.0,Banking,10k-50k Employees,Public,6.0,Mumbai,41300.0,55.0
Conneqt Business Solutions,3.7,BPO,10k-50k Employees,,22.0,Mumbai,26100.0,424.0
LTIMindtree,3.6,IT Services & Consulting,50k-1 Lakh Employees,Public,27.0,Bangalore / Bengaluru,99800.0,332.0
HDFC Life,4.1,Insurance,10k-50k Employees,Public,24.0,Mumbai,29900.0,10.0
Bajaj Finserv,4.1,Financial Services,50k-1 Lakh Employees,Public,17.0,Pune,26400.0,1.0
Mphasis,3.5,IT Services & Consulting,10k-50k Employees,Public,26.0,Bangalore/Bengaluru,65700.0,184.0
PwC,3.6,Management Consulting,10k-50k Employees,Conglomerate,144.0,London,85600.0,1100.0
HSBC Group,4.1,Banking,10k-50k Employees,Forbes Global 2000,159.0,Pune,59600.0,25.0
Startek,3.3,BPO,10k-50k Employees,Public,7.0,Mumbai,22600.0,78.0
Hinduja Global Solutions,4.0,IT Services & Consulting,10k-50k Employees,Public,24.0,Bangalore/Bengaluru,24500.0,50.0
Samsung,4.1,Consumer Electronics & Appliances,50k-1 Lakh Employees,Public,55.0,Seoul,27500.0,19.0
Ericsson,4.3,Telecom,10k-50k Employees,Forbes Global 2000,148.0,Stockholm,43600.0,413.0
Maruti Suzuki,4.2,Automobile,10k-50k Employees,Public,43.0,New Delhi,25600.0,5.0
Shriram Finance,4.1,NBFC,50k-1 Lakh Employees,Public,45.0,Mumbai,13700.0,12.0
Asian Paints,4.1,Chemicals,5k-10k Employees,Public,82.0,Mumbai,22000.0,22.0
Yes Bank,3.9,Banking,10k-50k Employees,Public,20.0,Mumbai,40700.0,33.0
Cipla,4.1,Pharma,10k-50k Employees,Public,89.0,Mumbai,23900.0,76.0
Dr. Reddy's,4.2,Pharma,10k-50k Employees,Public,40.0,Hyderabad/Secunderabad,23900.0,101.0
Sutherland Global Services,3.7,IT Services & Consulting,10k-50k Employees,,38.0,Pittsford,28000.0,224.0
Paytm,3.4,FinTech,10k-50k Employees,Public,14.0,Noida,32000.0,135.0
Bandhan Bank,3.8,Banking,50k-1 Lakh Employees,Public,23.0,Kolkata,20000.0,24.0
UltraTech Cement,4.2,Building Material,10k-50k Employees,Public,41.0,Mumbai,21300.0,6.0
EXL Service,3.8,Analytics & KPO,10k-50k Employees,,25.0,New York City,38200.0,61.0
NTT DATA,4.0,IT Services & Consulting,10k-50k Employees,,36.0,Chiyoda City,51600.0,113.0
ICICI Prudential Life Insurance,4.1,Insurance,10k-50k Employees,Public,24.0,Mumbai,21900.0,78.0
Bajaj Finance,4.1,NBFC,10k-50k Employees,,37.0,Pune,19700.0,9.0
Jana Small Finance Bank,3.9,Banking,10k-50k Employees,Public,18.0,Bangalore/Bengaluru,14700.0,54.0
Lupin,4.1,Pharma,1k-5k Employees,Public,56.0,Mumbai,22300.0,59.0
Indian Army,4.7,Defence & Aerospace,1 Lakh+ Employees,Public,129.0,New Delhi,9700.0,--
HCL Group,3.8,IT Services & Consulting,1 Lakh+ Employees,,48.0,Chennai,65600.0,--
Quess,4.0,BPO,1k-5k Employees,Public,17.0,Bangalore,25200.0,46.0
Tata Steel,4.2,Iron & Steel,1 Lakh+ Employees,Public,117.0,Mumbai,28100.0,24.0
L&T Infotech,3.8,IT Services & Consulting,10k-50k Employees,Public,28.0,Mumbai,72800.0,--
Wells Fargo,4.0,Financial Services,10k-50k Employees,Public,172.0,San Francisco,48600.0,1.0
Zydus Lifesciences,4.2,Pharma,10k-50k Employees,Public,72.0,Ahmedabad,18200.0,136.0
Delhivery,4.0,Logistics,10k-50k Employees,Fortune India 500,13.0,Delhi,17600.0,104.0
Amazon Development Centre India,4.2,Internet,10k-50k Employees,,,Hyderabad / Secunderabad,29500.0,8.0
L&T Construction,4.1,Engineering & Construction,5k-10k Employees,Public,80.0,Chennai,14700.0,--
JPMorgan Chase & Co.,4.1,Financial Services,50k-1 Lakh Employees,Public,56.0,New York,73000.0,294.0
Sun Pharmaceutical Industries,4.1,Pharma,10k-50k Employees,Public,41.0,Mumbai,20700.0,99.0
Hindustan Unilever,4.3,FMCG,10k-50k Employees,Public,152.0,London,20800.0,23.0
FIS,3.9,FinTech,10k-50k Employees,,56.0,Jacksonville,39400.0,76.0
ITC,4.0,FMCG,10k-50k Employees,Public,114.0,Kolkata,22800.0,47.0
Udaan,4.0,1k-5k Employees,,Indian Unicorn,8.0,Bangalore,19000.0,14.0
Hexaware Technologies,3.6,IT Services & Consulting,10k-50k Employees,Fortune India 500,34.0,Mumbai,46200.0,646.0
IIFL Finance,4.0,NBFC,10k-50k Employees,Public,29.0,Mumbai,15600.0,34.0
JSW Steel,4.0,Iron & Steel,10k-50k Employees,Public,42.0,Mumbai,25000.0,76.0
Ujjivan Small Finance Bank,4.1,Banking,10k-50k Employees,Public,7.0,Bangalore/Bengaluru,12000.0,17.0
Muthoot Finance,3.6,NBFC,10k-50k Employees,Public,85.0,Kochi/Cochin,11900.0,127.0
Max Life Insurance,4.2,Insurance,10k-50k Employees,,24.0,Gurgaon/Gurugram,17600.0,519.0
Tata Projects,4.3,Engineering & Construction,5k-10k Employees,Public,45.0,Mumbai,19600.0,23.0
Aurobindo Pharma,4.0,Pharma,10k-50k Employees,Public,38.0,Hyderabad/Secunderabad,21500.0,17.0
