name,rating,sector,no_of_employees,ownership_status,age_of_company,headquarters_location,salary,available_jobs
Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances,10k-50k Employees,Fortune India 500,127.0,Mumbai,15700.0,55.0
Randstad,3.9,Recruitment,5k-10k Employees,Conglomerate,32.0,Chennai,13800.0,165.0
Thermax Limited,4.2,Industrial Machinery,1k-5k Employees,Public,58.0,Pune,11800.0,83.0
Hetero Drugs,3.9,Pharma,1k-5k Employees,,31.0,Hyderabad/Secunderabad,13700.0,34.0
Deutsche Bank,4.0,Banking,10k-50k Employees,Fortune India 500,154.0,Frankfurt,31800.0,644.0
Macleods Pharmaceuticals,3.8,Pharma,10k-50k Employees,Public,38.0,Mumbai,14000.0,10.0
Havells,4.1,Electrical Equipment,5k-10k Employees,Public,41.0,Noida,12400.0,34.0
CARS24,3.7,Internet,5k-10k Employees,Indian Unicorn,9.0,Gurgaon,12400.0,112.0
Team Lease,4.0,Recruitment,1k-5k Employees,Public,8.0,Bangalore/Bengaluru,14400.0,7.0
Subros,4.0,Auto Components,1k-5k Employees,Public,39.0,Noida,11800.0,1.0
Sodexo,4.2,Facility Management Services,10k-50k Employees,Forbes Global 2000,16.0,Issy les Moulineaux,9400.0,872.0
Abbott,4.2,Pharma,10k-50k Employees,Public,136.0,Illinois City,10700.0,138.0
VE Commercial Vehicles,4.1,Automobile,1k-5k Employees,,16.0,Gurgaon/Gurugram,12200.0,2.0
Indian Oil Corporation,4.4,Oil & Gas,10k-50k Employees,Fortune India 500,65.0,Delhi/NCR,7500.0,--
Whitehat jr,3.5,EdTech,5k-10k Employees,Startup,6.0,Mumbai,9700.0,--
Ford Motor,4.5,Automobile,5k-10k Employees,Public,121.0,Dearborn,14000.0,42.0
Tata Capital,4.1,NBFC,5k-10k Employees,Fortune India 500,17.0,Mumbai,10400.0,1100.0
Automatic Data Processing (ADP),4.1,Software Product,1k-5k Employees,Forbes Global 2000,75.0,New Jersey,20200.0,35.0
Bharat Electronics,4.2,Electronics Manufacturing,5k-10k Employees,Fortune India 500,70.0,Gurgaon / Gurugram,11500.0,--
Cummins,4.4,Industrial Machinery,1k-5k Employees,Fortune India 500,105.0,Gurgaon / Gurugram,14800.0,63.0
ITC Infotech,3.8,IT Services & Consulting,10k-50k Employees,,24.0,Gurgaon / Gurugram,28000.0,344.0
Access Healthcare,4.0,IT Services & Consulting,5k-10k Employees,,13.0,Chennai,19300.0,132.0
R1 RCM,3.9,Healthcare,5k-10k Employees,,17.0,Gurgaon / Gurugram,16900.0,217.0
American Express,4.2,Financial Services,10k-50k Employees,Forbes Global 2000,174.0,Gurgaon / Gurugram,21300.0,189.0
Alembic Pharmaceuticals,4.1,Pharma,10k-50k Employees,Public,117.0,Gurgaon / Gurugram,13900.0,62.0
Pidilite Industries,4.4,Chemicals,5k-10k Employees,Public,65.0,Gurgaon / Gurugram,9600.0,11.0
Tata AIA Life Insurance,4.1,Insurance,10k-50k Employees,,23.0,Gurgaon / Gurugram,12100.0,14.0
UnitedHealth,4.1,Healthcare,10k-50k Employees,Forbes Global 2000,47.0,Gurgaon / Gurugram,20400.0,--
Hindalco Industries,4.3,Metals & Mining,10k-50k Employees,Public,66.0,Gurgaon / Gurugram,9900.0,6.0
Alkem Laboratories,4.0,Pharma,10k-50k Employees,Public,51.0,Gurgaon / Gurugram,9000.0,23.0
Aakash Educational Services,3.6,EdTech,5k-10k Employees,,36.0,Gurgaon / Gurugram,11500.0,60.0
Publicis Sapient,3.6,IT Services & Consulting,10k-50k Employees,,34.0,Gurgaon / Gurugram,28000.0,24.0
Atos,3.8,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,27.0,Gurgaon / Gurugram,27500.0,--
Utkarsh Small Finance Bank,4.0,Banking,10k-50k Employees,Public,15.0,Gurgaon / Gurugram,9100.0,43.0
DCB Bank,3.8,Banking,5k-10k Employees,Fortune India 500,94.0,Gurgaon / Gurugram,8800.0,57.0
Hindustan Coca Cola Beverages,4.3,Beverage,5k-10k Employees,,27.0,Gurgaon / Gurugram,7200.0,32.0
